IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
1.0.0.168,4,1,0.75,190.00,0.00,N/A
1.0.0.169,4,1,0.75,190.00,0.00,N/A
1.0.0.167,4,1,0.75,190.00,0.00,N/A
104.16.141.87,4,1,0.75,190.00,0.00,N/A
104.16.103.197,4,1,0.75,190.00,0.00,N/A
1.0.0.228,4,1,0.75,190.00,0.00,N/A
213.241.198.171,4,1,0.75,190.00,0.00,N/A
104.27.76.69,4,1,0.75,190.00,0.00,N/A
104.27.71.102,4,1,0.75,190.00,0.00,N/A
104.19.199.58,4,1,0.75,190.00,0.00,N/A
1.0.0.226,4,1,0.75,190.00,0.00,N/A
205.233.181.182,4,1,0.75,190.02,0.00,N/A
104.17.0.94,4,1,0.75,190.25,0.00,N/A
198.41.223.3,4,1,0.75,190.30,0.00,N/A
104.27.199.215,4,1,0.75,190.56,0.00,N/A
198.41.198.11,4,1,0.75,190.83,0.00,N/A
104.19.216.35,4,1,0.75,191.01,0.00,N/A
104.19.107.233,4,1,0.75,191.08,0.00,N/A
104.27.73.170,4,1,0.75,191.21,0.00,N/A
104.25.153.16,4,1,0.75,191.31,0.00,N/A
104.17.1.26,4,1,0.75,191.54,0.00,N/A
104.27.195.127,4,1,0.75,191.73,0.00,N/A
104.19.205.32,4,1,0.75,191.75,0.00,N/A
1.0.0.215,4,1,0.75,191.93,0.00,N/A
1.0.0.224,4,1,0.75,192.22,0.00,N/A
104.24.210.249,4,1,0.75,192.24,0.00,N/A
104.18.202.146,4,1,0.75,192.27,0.00,N/A
104.18.194.249,4,1,0.75,192.35,0.00,N/A
1.0.0.88,4,1,0.75,192.48,0.00,N/A
104.21.21.110,4,1,0.75,192.64,0.00,N/A
104.26.8.58,4,1,0.75,192.66,0.00,N/A
104.24.213.229,4,1,0.75,192.68,0.00,N/A
45.80.110.211,4,1,0.75,192.75,0.00,N/A
172.65.47.9,4,1,0.75,193.02,0.00,N/A
104.25.121.189,4,1,0.75,193.18,0.00,N/A
172.64.95.59,4,1,0.75,193.19,0.00,N/A
104.27.4.1,4,1,0.75,193.23,0.00,N/A
154.202.89.58,4,1,0.75,193.61,0.00,N/A
104.25.106.223,4,1,0.75,193.63,0.00,N/A
104.24.208.140,4,1,0.75,193.68,0.00,N/A
104.18.66.86,4,1,0.75,193.72,0.00,N/A
104.19.204.242,4,1,0.75,193.75,0.00,N/A
104.24.219.203,4,1,0.75,193.77,0.00,N/A
104.17.131.22,4,1,0.75,193.85,0.00,N/A
1.0.0.175,4,1,0.75,194.03,0.00,N/A
1.0.0.212,4,1,0.75,194.11,0.00,N/A
104.21.22.200,4,1,0.75,194.20,0.00,N/A
172.67.160.190,4,1,0.75,194.40,0.00,N/A
104.21.235.165,4,1,0.75,194.61,0.00,N/A
172.67.164.0,4,1,0.75,194.74,0.00,N/A
