IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
104.16.244.247,4,3,0.25,24.40,0.00,N/A
104.17.104.123,4,3,0.25,24.65,0.00,N/A
104.19.45.31,4,3,0.25,24.75,0.00,N/A
104.17.121.206,4,3,0.25,25.10,0.00,N/A
104.17.98.247,4,3,0.25,26.33,0.00,N/A
104.17.172.107,4,3,0.25,26.49,0.00,N/A
104.17.114.184,4,3,0.25,26.50,0.00,N/A
104.17.110.207,4,3,0.25,26.52,0.00,N/A
104.17.112.179,4,3,0.25,26.52,0.00,N/A
104.17.97.249,4,3,0.25,27.61,0.00,N/A
104.17.116.51,4,3,0.25,27.80,0.00,N/A
104.17.222.149,4,3,0.25,29.55,0.00,N/A
172.64.154.211,4,3,0.25,31.04,0.00,N/A
104.17.221.114,4,3,0.25,31.66,0.00,N/A
172.64.153.53,4,3,0.25,71.84,0.00,N/A
172.65.224.213,4,3,0.25,72.45,0.00,N/A
172.66.3.178,4,3,0.25,73.02,0.00,N/A
172.65.225.120,4,3,0.25,73.35,0.00,N/A
172.66.1.104,4,3,0.25,73.70,0.00,N/A
172.66.0.254,4,3,0.25,75.41,0.00,N/A
172.65.236.235,4,3,0.25,77.85,0.00,N/A
104.18.7.141,4,3,0.25,158.64,0.00,N/A
172.67.66.172,4,3,0.25,159.06,0.00,N/A
172.67.68.145,4,3,0.25,159.96,0.00,N/A
172.67.170.93,4,3,0.25,159.97,0.00,N/A
172.67.71.157,4,3,0.25,160.19,0.00,N/A
104.18.15.180,4,3,0.25,160.20,0.00,N/A
104.18.14.237,4,3,0.25,160.25,0.00,N/A
172.67.144.44,4,3,0.25,160.43,0.00,N/A
104.18.0.41,4,3,0.25,160.49,0.00,N/A
104.17.255.221,4,3,0.25,160.64,0.00,N/A
172.67.160.41,4,3,0.25,160.89,0.00,N/A
172.67.149.192,4,3,0.25,161.12,0.00,N/A
172.67.65.86,4,3,0.25,161.73,0.00,N/A
172.67.169.25,4,3,0.25,161.99,0.00,N/A
172.65.127.122,4,3,0.25,164.78,0.00,N/A
172.67.163.84,4,3,0.25,164.93,0.00,N/A
104.18.213.88,4,3,0.25,165.17,0.00,N/A
104.18.155.127,4,3,0.25,165.29,0.00,N/A
172.65.132.232,4,3,0.25,167.01,0.00,N/A
172.67.112.102,4,3,0.25,167.42,0.00,N/A
104.24.139.2,4,3,0.25,167.50,0.00,N/A
104.16.174.138,4,3,0.25,167.62,0.00,N/A
104.18.152.238,4,3,0.25,167.64,0.00,N/A
104.16.44.102,4,3,0.25,167.80,0.00,N/A
162.159.212.50,4,3,0.25,167.97,0.00,N/A
104.18.132.234,4,3,0.25,168.13,0.00,N/A
172.66.145.37,4,3,0.25,168.22,0.00,N/A
